,user,date,text,favorite_count,location
33,timkowal,Thu Mar 07 03:29:32 +0000 2019,RT @JeffereyJaxen: Here's vaccine #misinformation from Sen. Alexander: FDA's 'gold standard' never required inert placebo-controlled trials…,0,"Huntington Beach, CA"
34,niraj_bartaula,Thu Mar 07 03:29:25 +0000 2019,"RT @PublicHealth: ""Our children, and our children’s children, have the opportunity to grow up in a world that is free from polio, measles a…",0,"Hetauda, Nepal"
35,ANationOfMoms,Thu Mar 07 03:29:20 +0000 2019,"RT @morewless: #ad Have you been affected by the flu? If your symptoms point to the flu versus a cold, your doctor can do a simple test. Ge…",0,US
36,gopoundsand1234,Thu Mar 07 03:29:17 +0000 2019,"RT @45HammerTime: 🔥Call To Action🔥
Share this White House petition with every living Soul you know. 
The time is now to stop the slaughter…",0,United States
37,InsideVaccines,Thu Mar 07 03:29:15 +0000 2019,Definitely a press release study. Note all the vaccine fanatics madly spreading it around as though it were real sc… https://t.co/Wz8q520Aaa,6,USA
38,CLMcIff,Thu Mar 07 03:29:15 +0000 2019,RT @Laurie_Garrett: @T_Inglesby My latest in @ForeignPolicy  just went live: All #measles &amp; #vaccine conspiracy theories &amp; movements boil d…,0,"Washington, DC"
39,wiggley_dale,Thu Mar 07 03:29:05 +0000 2019,"On Feb 4th, 2000, Holly Stavola, died tragically &amp; unnecessarily from encephalopathy due to her 2nd MMR vaccination… https://t.co/2nYObbaxEw",0,New Zealand
40,lygrdl,Thu Mar 07 03:29:00 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,"Philadelphia, PA"
41,BrittLo_xo,Thu Mar 07 03:28:58 +0000 2019,Mike is sick. I pray it’s not the flu and that me &amp; Carly don’t catch whatever it is.,0,VA
42,mikecas43399578,Thu Mar 07 03:28:57 +0000 2019,"RT @45HammerTime: 🔥Call To Action🔥
Share this White House petition with every living Soul you know. 
The time is now to stop the slaughter…",0,Macedonian Content Farmer 
43,pre_ryan,Thu Mar 07 03:28:55 +0000 2019,"""The new research confirms what has long been widely accepted in the scientific community, and it echoes findings o… https://t.co/OmjguBPRDf",1,"Washington, DC"
44,tvventy,Thu Mar 07 03:28:51 +0000 2019,"Flu, i hate it😫",0,NEO
45,janijosa,Thu Mar 07 03:28:51 +0000 2019,"RT @NPR: 18-year-old Ethan Lindenberger told Congress his anti-vaccine mother got most of her misinformation about vaccines on Facebook, wh…",0,"Nashville, TN"
46,simplemama2013,Thu Mar 07 03:28:48 +0000 2019,RT @morewless: #ad Flu season is definitely a season I wish I could avoid. I have some ways to help prevent you &amp; your family from being af…,0,Oman
47,ashbashniv,Thu Mar 07 03:28:43 +0000 2019,"Even tho I was in the hospital today with the flu, I had a gf bagel for the first time and it has brought me so much joy",2,"Detroit, MI "
48,EugeneBu,Thu Mar 07 03:28:37 +0000 2019,"RT @Jesus_isPeace: #PHYSICIANS URGE GOVT TO LET PARENTS MAKE #VACCINE DECISIONS
Says they 'are necessarily risky, as recognized by #SCOTUS…",0,"Wrightwood, CA"
49,sumedhgondane,Thu Mar 07 03:28:31 +0000 2019,RT @cnni: The increased risk level for autism and depression was detected regardless of whether fetal exposure was to a severe infection li…,0,Nagpur
50,MehraRupa,Thu Mar 07 03:28:31 +0000 2019,RT @NYTHealth: A 10-year study of more than half a million Danish children found no evidence that vaccines increased the risk of autism. Th…,0,"Toronto, Ontario Canada"
51,amycarvalho_,Thu Mar 07 03:28:29 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,"San Luis Obispo, CA"
52,KrystalLeaBusby,Thu Mar 07 03:28:18 +0000 2019,"One More Time, With Big Data: Measles Vaccine Doesn’t Cause Autism https://t.co/EAZ12c7tuR",0,Mississippi
53,CathyFarrow1,Thu Mar 07 03:28:17 +0000 2019,"RT @CaulfieldTim: #Grrrr: ""Even with measles outbreaks across the US, at least 20 states have proposed anti-vaccination bills"" @CNN https:/…",0,"Central Okanagan, British Columbia"
54,Health__Nature,Thu Mar 07 03:28:11 +0000 2019,"Yes, some kids do die from the flu but hundreds of thousands more are legally murdered each year in the name of ""wo… https://t.co/n1JvlDHIzO",0,Barcelona Spain
55,jess95mp,Thu Mar 07 03:28:05 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,New Jersey
56,lindamartinseng,Thu Mar 07 03:28:04 +0000 2019,Why Did the CDC Silence the Million Dollar Harvard Project Charged With Upgrading Our Vaccine Safety Surveillance S… https://t.co/ABzDSzBni5,0,Michigan
57,PQJam,Thu Mar 07 03:28:02 +0000 2019,"RT @muqingmzhang: One of the fucked up parts about the anti-vaccine ""movement"" is how they've coopted the language of consent and bodily au…",0,Jamaica
58,Elizabeth_skyy,Thu Mar 07 03:27:50 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,"Erlanger, KY"
